filename,category,article_or_summary
361.txt,politics,Summaries
245.txt,politics,Summaries
141.txt,politics,Summaries
372.txt,politics,Summaries
333.txt,politics,Summaries
276.txt,politics,Summaries
244.txt,politics,Summaries
175.txt,politics,Summaries
351.txt,politics,Summaries
265.txt,politics,Summaries
178.txt,politics,Summaries
201.txt,politics,Summaries
087.txt,politics,Summaries
251.txt,politics,Summaries
122.txt,politics,Summaries
375.txt,politics,Summaries
098.txt,politics,Summaries
139.txt,politics,Summaries
161.txt,politics,Summaries
328.txt,politics,Summaries
174.txt,politics,Summaries
353.txt,politics,Summaries
383.txt,politics,Summaries
409.txt,politics,Summaries
039.txt,politics,Summaries
365.txt,politics,Summaries
028.txt,politics,Summaries
134.txt,politics,Summaries
044.txt,politics,Summaries
154.txt,politics,Summaries
054.txt,politics,Summaries
200.txt,politics,Summaries
396.txt,politics,Summaries
021.txt,politics,Summaries
179.txt,politics,Summaries
229.txt,politics,Summaries
322.txt,politics,Summaries
057.txt,politics,Summaries
043.txt,politics,Summaries
045.txt,politics,Summaries
148.txt,politics,Summaries
115.txt,politics,Summaries
415.txt,politics,Summaries
040.txt,politics,Summaries
289.txt,politics,Summaries
063.txt,politics,Summaries
263.txt,politics,Summaries
105.txt,politics,Summaries
180.txt,politics,Summaries
255.txt,politics,Summaries
185.txt,politics,Summaries
162.txt,politics,Summaries
240.txt,politics,Summaries
343.txt,politics,Summaries
166.txt,politics,Summaries
127.txt,politics,Summaries
010.txt,politics,Summaries
031.txt,politics,Summaries
235.txt,politics,Summaries
356.txt,politics,Summaries
062.txt,politics,Summaries
376.txt,politics,Summaries
012.txt,politics,Summaries
290.txt,politics,Summaries
369.txt,politics,Summaries
215.txt,politics,Summaries
129.txt,politics,Summaries
089.txt,politics,Summaries
059.txt,politics,Summaries
314.txt,politics,Summaries
027.txt,politics,Summaries
391.txt,politics,Summaries
310.txt,politics,Summaries
374.txt,politics,Summaries
230.txt,politics,Summaries
363.txt,politics,Summaries
381.txt,politics,Summaries
155.txt,politics,Summaries
398.txt,politics,Summaries
037.txt,politics,Summaries
165.txt,politics,Summaries
407.txt,politics,Summaries
159.txt,politics,Summaries
001.txt,politics,Summaries
382.txt,politics,Summaries
250.txt,politics,Summaries
254.txt,politics,Summaries
080.txt,politics,Summaries
350.txt,politics,Summaries
223.txt,politics,Summaries
034.txt,politics,Summaries
399.txt,politics,Summaries
171.txt,politics,Summaries
299.txt,politics,Summaries
036.txt,politics,Summaries
387.txt,politics,Summaries
261.txt,politics,Summaries
226.txt,politics,Summaries
120.txt,politics,Summaries
224.txt,politics,Summaries
253.txt,politics,Summaries
158.txt,politics,Summaries
332.txt,politics,Summaries
308.txt,politics,Summaries
327.txt,politics,Summaries
011.txt,politics,Summaries
094.txt,politics,Summaries
016.txt,politics,Summaries
151.txt,politics,Summaries
093.txt,politics,Summaries
075.txt,politics,Summaries
212.txt,politics,Summaries
339.txt,politics,Summaries
334.txt,politics,Summaries
280.txt,politics,Summaries
177.txt,politics,Summaries
368.txt,politics,Summaries
225.txt,politics,Summaries
373.txt,politics,Summaries
275.txt,politics,Summaries
337.txt,politics,Summaries
323.txt,politics,Summaries
113.txt,politics,Summaries
268.txt,politics,Summaries
138.txt,politics,Summaries
085.txt,politics,Summaries
347.txt,politics,Summaries
077.txt,politics,Summaries
032.txt,politics,Summaries
196.txt,politics,Summaries
046.txt,politics,Summaries
076.txt,politics,Summaries
022.txt,politics,Summaries
320.txt,politics,Summaries
304.txt,politics,Summaries
262.txt,politics,Summaries
088.txt,politics,Summaries
359.txt,politics,Summaries
349.txt,politics,Summaries
202.txt,politics,Summaries
209.txt,politics,Summaries
400.txt,politics,Summaries
